# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point A (1/2,1/2,1/2)
M4     Ba 5d M4              16.753  O 3p M4               53.771     5.142   37.018    1.82
M5     Ti 4p M5              11.373  O 2p M5#2              6.470     0.668    4.903    1.76
M1     Ti 3p M1             -24.990  O 2s M1               -8.593     2.221   16.397    1.74
M3     Ba 5s M3             -18.300  O 2p M3                5.189     3.057   23.489    1.61
M5     Ti 4d M5              27.648  O 2p M5#1              6.215     2.454   21.433    1.26
M5     Ba 5d M5              13.974  O 2p M5#1              6.215     0.869    7.759    1.21
M1     Ti 4d M1              23.050  O 2p M1#1              5.083     1.832   17.967    1.01
M1     Ti 4d M1              23.050  O 2s M1               -8.593     3.064   31.643    0.91
M1     Ti 3s M1             -50.285  O 2s M1               -8.593     4.017   41.691    0.90
M4     Ba 5d M4              16.753  O 2p M4                7.401     0.896    9.352    0.89
M5     Ba 5p M5              -4.015  O 2p M5#1              6.215     0.965   10.231    0.87
M1     Ti 4s M1              18.477  O 2p M1#2              6.236     1.106   12.242    0.80
M3     Ba 7s M3              45.314  O 3d M3#2             76.453     2.672   31.138    0.72
M1     Ti 4p M1              17.444  O 2p M1#1              5.083     0.901   12.361    0.52
M2     Ti 3d M2               9.896  O 3d M2#2             59.581     3.601   49.685    0.52
M5     Ti 4p M5              11.373  O 3d M5#2             62.051     3.490   50.678    0.47
M5     Ba 5p M5              -4.015  O 2p M5#2              6.470     0.701   10.485    0.44
M5     Ba 5d M5              13.974  O 3p M5#1             44.024     1.842   30.050    0.37
M5     Ba 5d M5              13.974  O 3p M5#2             54.975     2.405   41.001    0.34
